station,location_id,latitude,longitude,country,timezone,owner,provider,first_date,last_date,pm25_sensor_id,pm1_sensor_id
Bagdol,6230465,27.671706,85.301619,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2026-02-06T09:00:00Z,2026-05-28T17:00:00Z,15374668,15374667.0
Balaju (SC-26)- GD Labs,6094779,27.738289,85.302611,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-14T07:00:00Z,2026-07-02T14:00:00Z,14372576,14372575.0
Balkumari(SC-28)- GD Labs,6121083,27.671069,85.338037,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-11-06T08:00:00Z,2026-06-13T11:00:00Z,14565418,14565417.0
Baluwatar (SC-02) - GD Labs,5509787,27.7249438,85.331062,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-09-25T07:00:00Z,2026-06-09T10:00:00Z,14207425,14207424.0
CEN-SR-02: Farsidol Brick Factories,5710077,27.6175,85.2961,Nepal,Asia/Kathmandu,Clean Energy Nepal (CEN),AirGradient,2025-09-19T00:00:00Z,2026-07-02T14:00:00Z,14153453,14153452.0
"CEN-SR-25: Patako Chowk, Patan Durbar Square",5695597,27.673979,85.325392,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-09-19T00:00:00Z,2026-06-15T09:00:00Z,14153463,14153462.0
Chhetrapati (SC - 19) - GD Labs,6093432,27.7119136,85.3061473,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-13T06:00:00Z,2026-07-02T14:00:00Z,14363831,14363830.0
Chovar (SC - 07) - GD Labs,5676345,27.6662854,85.2937189,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-09-19T00:00:00Z,2026-07-02T14:00:00Z,14153368,14153367.0
"Dabali, Handigaun",2848864,27.68189114,85.28707804,Nepal,Asia/Kathmandu,Unknown Person,AirGradient,2024-05-16T03:00:00Z,2026-07-02T14:00:00Z,9235746,9235744.0
"Dhathutole, Handigaun",1236017,27.727502,85.330135,Nepal,Asia/Kathmandu,Unknown Governmental Organization,AirGradient,2023-07-15T13:00:00Z,2026-06-01T04:00:00Z,6530219,8462455.0
Embassy Kathmandu,3459,27.738703,85.336206,Nepal,Asia/Kathmandu,Unknown Governmental Organization,AirNow,2017-03-03T00:00:00Z,2026-06-17T23:15:00Z,7710,
Farsidol Relocated,5699844,27.609972,85.296917,Nepal,Asia/Kathmandu,Clean Energy Nepal (CEN),AirGradient,2025-11-07T06:00:00Z,2026-05-11T06:00:00Z,14573141,14573140.0
Gaushala Chowk (SC-01) - GD Labs,5506835,27.707763,85.343189,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-09-19T00:00:00Z,2026-07-02T14:00:00Z,14153358,14153357.0
